Name,Image,Diameter (km),"Semi-major
axis (km)","Orbital
period (d)",Position,Discovery year,Status
A Ring moonlets,,0.04–0.4,≈ 130000,≈ +0.55,"Three 1,000 km bands within A Ring",2006,—
S/2004 S 3 and S 4,,≈ 3–5,≈ 140300,≈ +0.619,uncertain objects around the F Ring,2004,"Were undetected in thorough imaging of the region in November 2004, making their existence improbable. S/2004 S 4 was most likely a transient clump—it has not been recovered since the first sighting."
S/2004 S 6,,≈ 3–5,≈ 140130,+0.61801,uncertain objects around the F Ring,2004,"Consistently detected into 2005, may be surrounded by fine dust and have a very small physical core"
