Label,Name,Pronun­ciation,Image,"Abs.
mag.","Dia­meter
(km)","Mass
(× 1015 kg)","Semi-major axis
(km)","Orbital period
(d)","Incli­nation
(°)",Eccen­tric­ity,"Disco­very
year",Year anno­unced,Disco­verer,Group
,S/2003 J 12♦,,,17.1,≈ 1,≈ 0.00052,20959300,−619.96,150.0,0.235,2003,2003,Sheppard,Ananke
LXVIII,S/2017 J 7♦,,,16.6,≈ 2,≈ 0.0042,20960400,−620.02,147.4,0.235,2017,2018,Sheppard,Ananke
XLII,Thelxinoe♦,/θɛlkˈsɪnoʊiː/,,16.3,≈ 2,≈ 0.0042,20972300,−620.55,150.7,0.229,2003,2004,"Sheppard &
Gladman et al.",Ananke
XXIX,Thyone♦,/θaɪˈoʊniː/,,15.8,≈ 4,≈ 0.034,20972700,−620.59,147.6,0.235,2001,2002,Sheppard et al.,Ananke
,S/2021 J 8♦,,,16.9,≈ 1,≈ 0.00052,20978900,−620.85,147.1,0.243,2021,2026,Sheppard et al.,Ananke
LXXIII,S/2003 J 2♦,,,16.7,≈ 2,≈ 0.0042,20992900,−621.47,150.1,0.225,2003,2003,Sheppard,Ananke
,S/2022 J 3♦,,,17.3,≈ 1,≈ 0.00052,21015100,−622.44,148.1,0.248,2022,2023,Sheppard,Ananke
XII,Ananke♦,/əˈnæŋkiː/,,11.8,29.1,≈ 13,21029500,−623.11,147.6,0.238,1951,1951,Nicholson,Ananke
XXIV,Iocaste♦,/aɪəˈkæstiː/,,15.4,≈ 5,≈ 0.065,21062300,−624.55,148.7,0.223,2000,2001,Sheppard et al.,Ananke
,S/2017 J 10♦,,,17.0,≈ 1,≈ 0.00052,21075800,−625.15,145.1,0.209,2017,2025,Sheppard,Ananke
XXX,Hermippe♦,/hərˈmɪpiː/,,15.5,≈ 4,≈ 0.034,21103600,−626.38,150.2,0.220,2001,2002,Sheppard et al.,Ananke
,S/2010 J 6♦,,,16.5,≈ 2,≈ 0.0042,21489800,−643.67,149.9,0.297,2010,2026,Sheppard,Ananke
LXX,S/2017 J 9♦,,,16.1,≈ 3,≈ 0.014,21764200,−656.05,155.4,0.197,2017,2018,Sheppard,Ananke
LVIII,Philo­phrosyne‡,/fɪləˈfrɒzəniː/,,16.6,≈ 2,≈ 0.0042,22600200,−694.20,146.1,0.221,2003,2003,Sheppard,Pasiphae
,S/2016 J 3♥,,,16.7,≈ 2,≈ 0.0042,22719300,−699.76,164.6,0.251,2016,2023,Sheppard,Carme
,S/2022 J 1♥,,,17.0,≈ 1,≈ 0.00052,22744700,−700.93,164.5,0.257,2022,2023,Sheppard,Carme
,S/2010 J 4♥,,,17.2,≈ 1,≈ 0.0042,22793400,−703.19,164.6,0.278,2010,2026,Sheppard,Carme
LXIX,S/2017 J 8♥,,,17.1,≈ 1,≈ 0.00052,22819600,−704.42,164.8,0.259,2017,2018,Sheppard,Carme
XXXVIII,Pasithee♥,/ˈpæsəθiː/,,16.8,≈ 2,≈ 0.0042,22840800,−705.41,164.5,0.274,2001,2002,Sheppard et al.,Carme
